name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
"Marcinelle Energie (Carsid)","DIRECT ENERGIE",,,,BE,413,"Natural gas","Combined cycle",,,,50.41396,4.40645,22WMARCIN000179H,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Aalst Syral GT",Electrabel,,,,BE,43,"Natural gas","Gas turbine",Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Aalst Syral ST",Electrabel,,,,BE,5,"Natural gas","Steam turbine",Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"AALTER TJ",Electrabel,,,,BE,18,Oil,"Gas turbine",,,,,,,"Fossil fuels",Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Amercoeur 1 R TGV",Electrabel,,,,BE,451,"Natural gas","Combined cycle",,,,50.43004,4.39518,22WAMERCO000010Y,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"AWIRS 4",Electrabel,,,,BE,95,"Biomass and biogas","Steam turbine",,,,50.58508,5.41886,,"Renewable energy",Bioenergy,"Biomass and biogas",,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"BEERSE TJ",Electrabel,,,,BE,32,Oil,"Gas turbine",,,,,,,"Fossil fuels",Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Beveren Ineos Phenolchemie",Electrabel,,,,BE,23.8,"Natural gas",,Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
BUTGENBACH,Electrabel,,,,BE,1.8,Hydro,,,,,,,,"Renewable energy",Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"CIERREUX TJ",Electrabel,,,,BE,18,Oil,"Gas turbine",,,,,,,"Fossil fuels",Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"COO I T",Electrabel,,,,BE,474,Hydro,,,,,50.38254,5.84414,22WCOOXIX000067T,"Renewable energy",Hydro,,,Basin,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"COO II T",Electrabel,,,,BE,690,Hydro,,,,,50.38254,5.84414,22WCOOXII000070C,"Renewable energy",Hydro,,,Basin,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"DOEL 1",Electrabel,,,,BE,445,Nuclear,"Steam turbine",,,,51.32481,4.25889,22WDOELX1000076X,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"DOEL 2",Electrabel,,,,BE,433,Nuclear,"Steam turbine",,,,51.32481,4.25889,22WDOELX2000077N,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"DOEL 3",Electrabel,,,,BE,1006,Nuclear,"Steam turbine",,,,51.32481,4.25889,22WDOELX3000078D,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"DOEL 4",Electrabel,,,,BE,1039,Nuclear,"Steam turbine",,,,51.32481,4.25889,22WDOELX40000793,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"DROGENBOS DM 51",Electrabel,,,,BE,2.5,Oil,,,,,50.80244,4.30072,,"Fossil fuels",Oil,,,NoMetering,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"DROGENBOS DM 52",Electrabel,,,,BE,2.5,Oil,,,,,50.80244,4.30072,,"Fossil fuels",Oil,,,NoMetering,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"DROGENBOS GT1",Electrabel,,,,BE,150,"Natural gas","Gas turbine",,,,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"DROGENBOS GT2",Electrabel,,,,BE,150,"Natural gas","Gas turbine",,,,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"DROGENBOS ST",Electrabel,,,,BE,160,"Natural gas","Steam turbine",,,,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"HERDERSBRUG STEG",Electrabel,,,,BE,465,"Natural gas","Combined cycle",,,,51.26307,3.21121,22WHERDER0001288,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"IXELLES TJ",Electrabel,,,,BE,18,Oil,"Gas turbine",,,,,,,"Fossil fuels",Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"La Vierre",Electrabel,,,,BE,1.9,Hydro,,,,,,,,"Renewable energy",Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Lanaken Sappi",Electrabel,,,,BE,43,"Natural gas",,Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"LANGERBRUGGE STORA ST 1",Electrabel,,,,BE,11,"Non-renewable waste","Steam turbine",Yes,,CHP/IPP,,,,"Fossil fuels","Non-renewable waste",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"LANGERBRUGGE STORA ST 2",Electrabel,,,,BE,44.7,"Non-renewable waste","Steam turbine",Yes,,CHP/IPP,,,,"Fossil fuels","Non-renewable waste",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Lillo Degussa GT1",Electrabel,,,,BE,43,"Natural gas","Gas turbine",Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Lillo Degussa GT2",Electrabel,,,,BE,32,"Natural gas","Gas turbine",Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Lillo Degussa ST",Electrabel,,,,BE,10,"Natural gas","Steam turbine",Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Noordschote TJ",Electrabel,,,,BE,18,Oil,"Gas turbine",,,,,,,"Fossil fuels",Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Oorderen Bayer",Electrabel,,,,BE,43,"Natural gas",,Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Oud-Lillo Monsanto",Electrabel,,,,BE,43,"Natural gas",,Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"RODENHUIZE 4",Electrabel,,,,BE,268,"Biomass and biogas","Steam turbine",,,,51.13421,3.77598,22WRODENH000213L,"Renewable energy",Bioenergy,"Biomass and biogas",,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"SAINT-GHISLAIN STEG",Electrabel,,,,BE,350,"Natural gas","Combined cycle",,,,50.47167,3.82521,22WSAINT-000221B,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Schaerbeek Siomab ST1",Electrabel,,,,BE,15,"Non-renewable waste","Steam turbine",,,,,,,"Fossil fuels","Non-renewable waste",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Schaerbeek Siomab ST2",Electrabel,,,,BE,15,"Non-renewable waste","Steam turbine",,,,,,,"Fossil fuels","Non-renewable waste",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Schaerbeek Siomab ST3",Electrabel,,,,BE,15,"Non-renewable waste","Steam turbine",,,,,,,"Fossil fuels","Non-renewable waste",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Scheldelaan Exxonmobil",Electrabel,,,,BE,140,"Natural gas",,Yes,,CHP/IPP,,,22WSCHELD0002261,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"TIHANGE 1N",Electrabel,,,,BE,481,Nuclear,"Steam turbine",,,,50.53464,5.27121,22WTIHANG000239G,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"TIHANGE 1S",Electrabel,,,,BE,481,Nuclear,"Steam turbine",,,,50.53464,5.27121,22WTIHANG000240V,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"TIHANGE 2",Electrabel,,,,BE,1008,Nuclear,"Steam turbine",,,,50.53464,5.27121,22WTIHANG000241T,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"TIHANGE 3",Electrabel,,,,BE,1038,Nuclear,"Steam turbine",,,,50.53464,5.27121,22WTIHANG000242R,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Turon TJ",Electrabel,,,,BE,18.6,Oil,"Gas turbine",,,,,,,"Fossil fuels",Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"VILVOORDE GT",Electrabel,,,,BE,255,"Natural gas","Gas turbine",,,,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Wilmarsdonk Total GT1",Electrabel,,,,BE,43,"Natural gas","Gas turbine",Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Wilmarsdonk Total GT2",Electrabel,,,,BE,43,"Natural gas","Gas turbine",Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Wilmarsdonk Total GT3",Electrabel,,,,BE,43,"Natural gas","Gas turbine",Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Wilrijk Isvag",Electrabel,,,,BE,12,"Non-renewable waste",,,,,,,,"Fossil fuels","Non-renewable waste",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Zandvliet Power",Electrabel,,,,BE,386.2,"Natural gas","Combined cycle",,,,51.36977,4.26667,22WZANDVL000255D,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Zedelgem TJ",Electrabel,,,,BE,18,Oil,"Gas turbine",,,,,,,"Fossil fuels",Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Zeebrugge 2 Fluxys",Electrabel,,,,BE,40,"Natural gas",,Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Zeebrugge TJ",Electrabel,,,,BE,18,Oil,"Gas turbine",,,,,,,"Fossil fuels",Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Zelzate 2 Knippegroen",Electrabel,,,,BE,315,"Mixed fossil fuels","Steam turbine",,,,51.15861,3.80746,22WZELZAT0002618,"Fossil fuels","Mixed fossil fuels",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Zelzate TJ",Electrabel,,,,BE,18,Oil,"Gas turbine",,,,51.15879,3.80815,22WZELZAT0002618,"Fossil fuels",Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Zwijndrecht Lanxess GT",Electrabel,,,,BE,43,"Natural gas","Gas turbine",Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Zwijndrecht Lanxess ST",Electrabel,,,,BE,15,"Natural gas","Steam turbine",Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Electrawinds biomassa Oostende","Electrawinds Distributie",,,,BE,18,"Non-renewable waste",,Yes,,CHP/IPP,,,,"Fossil fuels","Non-renewable waste",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Greenpower Oostende","Electrawinds Distributie",,,,BE,20,"Non-renewable waste",,,,,,,,"Fossil fuels","Non-renewable waste",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Eurosilo,Lampiris,,,,BE,12.9,"Natural gas",,Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Incinerateur THUMAIDE (IPALLE)",Lampiris,,,,BE,34,"Non-renewable waste",,,,,,,,"Fossil fuels","Non-renewable waste",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Intradel Herstal",Lampiris,,,,BE,34,"Non-renewable waste",,,,,,,,"Fossil fuels","Non-renewable waste",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
IVBO,Lampiris,,,,BE,16,"Non-renewable waste",,,,,,,,"Fossil fuels","Non-renewable waste",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"PLATE-TAILLE T",Lampiris,,,,BE,144,Hydro,,,,,,,22WPLATEX000208N,"Renewable energy",Hydro,,,Basin,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"ANGLEUR TG 41",Luminus,,,,BE,64,"Natural gas","Gas turbine",,,,50.61775,5.58267,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"ANGLEUR TG 42",Luminus,,,,BE,64,"Natural gas","Gas turbine",,,,50.61775,5.58267,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"ANGLEUR TG31",Luminus,,,,BE,25,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"ANGLEUR TG32",Luminus,,,,BE,25,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Beveren 2 Indaver",Luminus,,,,BE,21,"Non-renewable waste",,,,,,,,"Fossil fuels","Non-renewable waste",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Beveren 3 Indaver",Luminus,,,,BE,24,"Non-renewable waste",,,,,,,,"Fossil fuels","Non-renewable waste",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Beveren Sleco",Luminus,,,,BE,41,"Non-renewable waste",,,,,,,,"Fossil fuels","Non-renewable waste",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"EDF Luminus Izegem WKK",Luminus,,,,BE,20,"Natural gas",,Yes,,CHP/IPP,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"EDF Luminus Seraing GT1",Luminus,,,,BE,150,"Natural gas","Gas turbine",,,,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"EDF Luminus Seraing GT2",Luminus,,,,BE,150,"Natural gas","Gas turbine",,,,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
HAM31,Luminus,,,,BE,58,"Natural gas","Gas turbine",,,,51.05942,3.73646,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
HAM32,Luminus,,,,BE,58,"Natural gas","Gas turbine",,,,51.05942,3.73646,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"HU AMPSIN-NEUVILLE",Luminus,,,,BE,9.9,Hydro,,,,,50.53381,5.29636,,"Renewable energy",Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"HU ANDENNE",Luminus,,,,BE,9,Hydro,,,,,50.49179,5.06975,,"Renewable energy",Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"HU FLORIFFOUX",Luminus,,,,BE,0.8,Hydro,,,,,50.44663,4.77389,,"Renewable energy",Hydro,,,NoMetering,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"HU GRAND-MALADES",Luminus,,,,BE,5,Hydro,,,,,50.46595,4.89928,,"Renewable energy",Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"HU IVOZ-RAMET",Luminus,,,,BE,10,Hydro,,,,,50.59349,5.46137,,"Renewable energy",Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"HU LIXHE",Luminus,,,,BE,20,Hydro,,,,,50.75178,5.6878,,"Renewable energy",Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"HU MONSIN",Luminus,,,,BE,19.7,Hydro,,,,,50.65317,5.63137,,"Renewable energy",Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Jemeppe-sur-Sambre GT1",Luminus,,,,BE,48,"Natural gas","Gas turbine",,,,50.44746,4.66339,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Jemeppe-sur-Sambre GT2",Luminus,,,,BE,48,"Natural gas","Gas turbine",,,,50.44746,4.66339,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Jemeppe-sur-Sambre ST",Luminus,,,,BE,10,"Natural gas","Steam turbine",,,,50.44746,4.66339,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"RINGVAART STEG",Luminus,,,,BE,385,"Natural gas","Combined cycle",,,,51.10496,3.72567,22WRINGVA000209C,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"SERAING TV",Luminus,,,,BE,170,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"Biostoom Oostende","RWE Supply & Trading",,,,BE,19.4,"Non-renewable waste","Combined cycle",,,,,,,"Fossil fuels","Non-renewable waste",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"INESCO WKK","RWE Supply & Trading",,,,BE,138,"Natural gas","Combined cycle",Yes,,CHP/IPP,51.24256,4.32481,22WINESCO000149P,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"T-power Beringen",T-Power,,,,BE,422,"Natural gas","Combined cycle",,,,,,22WT-POWE000244W,"Fossil fuels","Natural gas",,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
"PROVENCE 4 BIOMASSE",,,,,FR,150,"Biomass and biogas",,,2018,,,,17W100P100P03647,"Renewable energy",Bioenergy,"Biomass and biogas",,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
AMFARD14,,,,,FR,130,"Natural gas",,,2004,,,,17W100P100P0353C,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
AMFARD15,,,,,FR,130,"Natural gas",,,2004,,,,17W100P100P03493,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"BLENOD 5",,,,,FR,427,"Natural gas",,,,,48.86959,6.08377,17W100P100P0243J,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"BOUCHAIN 7",,,,,FR,585,"Natural gas",,,2017,,50.29774,3.31429,17W100P100P0244H,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
COMBIGOLFE,,,,,FR,425,"Natural gas",,,2010,,43.41616,4.86974,17W100P100P0337A,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
CYCOFOS,,,,,FR,428,"Natural gas",,,2009,,43.42801,4.88652,17W100P100P0351G,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
Croix-de-Metz,,,,,FR,413,"Natural gas",,,2019,,48.69336,5.91468,17W100P100P0340L,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
DK6,,,,,FR,796,"Natural gas",,,2005,,51.04628,2.31835,17W100P100P0350I,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"EMILE HUCHET 7",,,,,FR,413,"Natural gas",,,2010,,49.15412,6.7047,17W100P100P0344D,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"EMILE HUCHET 8",,,,,FR,413,"Natural gas",,,2010,,49.15412,6.7047,17W100P100P0345B,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
FR-GA-MORANT1,,,,,FR,401,"Natural gas",,,2016,,46.27282,3.30095,17W100P100P0318E,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"GENNEVILLIERS 1",,,,,FR,203,"Natural gas",,,,,48.93699,2.26144,17W100P100P02667,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"MARTIGUES PONTEAU 5",,,,,FR,465,"Natural gas",,,,,43.35822,5.02112,17W100P100P0245F,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"MARTIGUES PONTEAU 6",,,,,FR,465,"Natural gas",,,,,43.35822,5.02112,17W100P100P0246D,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
Pont-sur-Sambre,,,,,FR,412,"Natural gas",,,2019,,50.22915,3.86807,17W100P100P0341J,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
SPEM,,,,,FR,435,"Natural gas",,,2010,,47.30265,-2.14028,17W100P100P0334G,"Fossil fuels","Natural gas",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"CORDEMAIS 4",,,,,FR,580,"Hard coal","Steam turbine",,,,47.27712,-1.88012,17W100P100P0236G,"Fossil fuels","Hard coal",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"CORDEMAIS 5",,,,,FR,580,"Hard coal","Steam turbine",,,,47.27712,-1.88012,17W100P100P0237E,"Fossil fuels","Hard coal",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"EMILE HUCHET 6",,,,,FR,595,"Hard coal","Steam turbine",,1981,,49.15412,6.7047,17W100P100P0343F,"Fossil fuels","Hard coal",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"HAVRE 4",,,,,FR,580,"Hard coal","Steam turbine",,,,49.47553,0.14711,17W100P100P0238C,"Fossil fuels","Hard coal",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"PROVENCE 5",,,,,FR,595,"Hard coal","Steam turbine",,1984,,46.46883,5.48957,17W100P100P03469,"Fossil fuels","Hard coal",,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"ARRIGHI 1",,,,,FR,125,Oil,,,,,48.79151,2.41593,17W100P100P0255C,"Fossil fuels",Oil,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"ARRIGHI 2",,,,,FR,129,Oil,,,,,48.79151,2.41593,17W100P100P0256A,"Fossil fuels",Oil,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"BRENNILIS 1",,,,,FR,85,Oil,,,,,48.35702,-3.87053,17W100P100P02586,"Fossil fuels",Oil,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"BRENNILIS 2",,,,,FR,85,Oil,,,,,48.35702,-3.87053,17W100P100P0260J,"Fossil fuels",Oil,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"BRENNILIS 3",,,,,FR,134,Oil,,,,,48.35702,-3.87053,17W100P100P0261H,"Fossil fuels",Oil,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"DIRINON 1",,,,,FR,85,Oil,,,,,48.39036,-4.26373,17W100P100P0263D,"Fossil fuels",Oil,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"DIRINON 2",,,,,FR,85,Oil,,,,,48.39036,-4.26373,17W100P100P02659,"Fossil fuels",Oil,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"MONTEREAU 5",,,,,FR,185,Oil,,,,,48.38045,2.85108,17W100P100P0270G,"Fossil fuels",Oil,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"MONTEREAU 6",,,,,FR,185,Oil,,,,,48.38045,2.85108,17W100P100P0271E,"Fossil fuels",Oil,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"VAIRES 1",,,,,FR,181,Oil,,,,,48.87349,2.65533,17W100P100P02675,"Fossil fuels",Oil,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"VAIRES 2",,,,,FR,179,Oil,,,,,48.87349,2.65533,17W100P100P02683,"Fossil fuels",Oil,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"VAIRES 3",,,,,FR,182,Oil,,,,,48.87349,2.65533,17W100P100P02691,"Fossil fuels",Oil,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
CHEYLAS,,,,,FR,485,Hydro,"Pumped storage",,,,45.3846,6.00207,17W100P100P0273A,"Renewable energy",Hydro,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
COCHE,,,,,FR,384,Hydro,"Pumped storage",,2019,,45.49667,6.51038,17W100P100P02748,"Renewable energy",Hydro,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"GRAND MAISON",,,,,FR,1700,Hydro,"Pumped storage",,2017,,45.20597,6.11719,17W100P100P02756,"Renewable energy",Hydro,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
MONTEZIC,,,,,FR,910,Hydro,"Pumped storage",,,,44.73766,2.64342,17W100P100P02772,"Renewable energy",Hydro,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
REVIN,,,,,FR,808,Hydro,"Pumped storage",,,,49.92556,4.61331,17W100P100P02780,"Renewable energy",Hydro,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"SUPER BISSORTE",,,,,FR,742.3,Hydro,"Pumped storage",,,,45.1803,6.5797,17W100P100P02764,"Renewable energy",Hydro,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
ASTON,,,,,FR,104,Hydro,Run-of-river,,,,42.77668,1.67671,17W100P100P0315K,"Renewable energy",Hydro,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
AVIGNON,,,,,FR,126,Hydro,Run-of-river,,1973,,43.97606,4.81721,17W100P100P0326F,"Renewable energy",Hydro,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"BAIX LOGIS NEUF 1",,,,,FR,140,Hydro,Run-of-river,,1960,,44.67605,4.78827,17W100P100P0322N,"Renewable energy",Hydro,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
BEAUCHASTEL,,,,,FR,198,Hydro,Run-of-river,,1963,,44.82397,4.81049,17W100P100P0321P,"Renewable energy",Hydro,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"BOURG les VALENCE",,,,,FR,180,Hydro,Run-of-river,,1968,,44.96128,4.87221,17W100P100P0320R,"Renewable energy",Hydro,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
CADEROUSSE,,,,,FR,156,Hydro,Run-of-river,,1975,,44.09606,4.72329,17W100P100P0325H,"Renewable energy",Hydro,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
